index, value
dia 620, 528
dia 621, 396
dia 622, 549
dia 623, 660
dia 624, 475
dia 625, 710
dia 626, 647
dia 627, 373
dia 628, 564
dia 629, 435
dia 630, 575
dia 631, 566
dia 632, 319
dia 633, 396
dia 634, 505
dia 635, 426
dia 636, 358
dia 637, 688
dia 638, 689
dia 639, 795
dia 640, 585
dia 641, 687
dia 642, 537
dia 643, 712
dia 644, 417
dia 645, 364
dia 646, 646
dia 647, 726
dia 648, 733
dia 649, 557
dia 650, 356
dia 651, 448
dia 652, 771
dia 653, 542
dia 654, 598
dia 655, 656
dia 656, 695
dia 657, 525
dia 658, 922
dia 659, 689
dia 660, 892
dia 661, 955
dia 662, 877
dia 663, 600
dia 664, 590
dia 665, 429
dia 666, 464
dia 667, 571
dia 668, 899
dia 669, 490
dia 670, 580
dia 671, 781
dia 672, 956
dia 673, 1033
dia 674, 1384
dia 675, 993
dia 676, 1019
dia 677, 1284
dia 678, 1086
dia 679, 1042
dia 680, 849
dia 681, 990
dia 682, 956
dia 683, 922
dia 684, 900
dia 685, 747
dia 686, 724
dia 687, 963
dia 688, 665
dia 689, 1074
dia 690, 822
dia 691, 1008
dia 692, 875
dia 693, 954
dia 694, 1288
dia 695, 2080
dia 696, 1941
dia 697, 1331
dia 698, 1112
dia 699, 1402
dia 700, 1578
dia 701, 1468
dia 702, 964
dia 703, 1197
dia 704, 1330
dia 705, 1169
dia 706, 1811
dia 707, 1779
dia 708, 1581
dia 709, 1379
dia 710, 1248
dia 711, 1101
dia 712, 1299
dia 713, 1517
dia 714, 1059
dia 715, 1519
dia 716, 1653
dia 717, 1197
dia 718, 1334
dia 719, 1561
dia 720, 1631
dia 721, 1372
dia 722, 1294
dia 723, 1496
dia 724, 1341
dia 725, 1470
dia 726, 1359
dia 727, 1088
dia 728, 1996
dia 729, 1456
dia 730, 1246
dia 731, 1621
dia 732, 1143
dia 733, 1007
dia 734, 1779
dia 735, 1193
dia 736, 1854
dia 737, 1546
dia 738, 1792
dia 739, 1465
dia 740, 1565
dia 741, 2298
dia 742, 1297
dia 743, 1238
dia 744, 1758
dia 745, 1800
dia 746, 2522
dia 747, 1669
dia 748, 1659
dia 749, 1502
dia 750, 2014
dia 751, 2437
dia 752, 2081
dia 753, 1809
dia 754, 1641
dia 755, 2037
dia 756, 2324
dia 757, 1814
dia 758, 2004
dia 759, 2261
dia 760, 2156
dia 761, 2675
dia 762, 2014
dia 763, 1683
dia 764, 1977
dia 765, 1994
dia 766, 2427
dia 767, 1477
dia 768, 2710
dia 769, 1770
dia 770, 2486
dia 771, 2273
dia 772, 2734
dia 773, 2396
dia 774, 2895
dia 775, 2735
dia 776, 2761
dia 777, 2264
dia 778, 2473
dia 779, 2352
dia 780, 1826
dia 781, 2097
dia 782, 2553
dia 783, 1930
dia 784, 2697
dia 785, 1884
dia 786, 3150
dia 787, 2815
dia 788, 2850
dia 789, 2144
dia 790, 2553
dia 791, 2305
dia 792, 2333
dia 793, 2312
dia 794, 2150
dia 795, 1583
dia 796, 2381
dia 797, 2088
dia 798, 1747
dia 799, 2892
dia 800, 2966
dia 801, 2585
dia 802, 2529
dia 803, 1763
dia 804, 2401
dia 805, 2199
dia 806, 2721
dia 807, 2264
dia 808, 2257
dia 809, 2368
dia 810, 2322
dia 811, 2797
dia 812, 1706
dia 813, 2045
dia 814, 2615
dia 815, 2111
dia 816, 2298
dia 817, 2665
dia 818, 2459
dia 819, 2523
dia 820, 3543
dia 821, 2864
dia 822, 3280
dia 823, 2453
dia 824, 1953
dia 825, 2656
dia 826, 2551
dia 827, 1903
dia 828, 3110
dia 829, 2319
dia 830, 2115
dia 831, 2484
dia 832, 2129
dia 833, 2487
dia 834, 2545
dia 835, 3074
dia 836, 2631
dia 837, 3180
dia 838, 2356
dia 839, 2748
dia 840, 3156
dia 841, 2196
dia 842, 1954
dia 843, 1853
dia 844, 2797
dia 845, 2694
dia 846, 2393
dia 847, 3572
dia 848, 2797
dia 849, 2824
dia 850, 3012
dia 851, 2767
dia 852, 2206
dia 853, 2544
dia 854, 2564
dia 855, 2817
dia 856, 2733
dia 857, 2059
dia 858, 2213
dia 859, 2539
dia 860, 2161
dia 861, 3000
dia 862, 2393
dia 863, 2694
dia 864, 2119
dia 865, 2412
dia 866, 2608
dia 867, 2569
dia 868, 2210
dia 869, 2859
dia 870, 2163
dia 871, 3104
dia 872, 2888
dia 873, 2665
dia 874, 3090
dia 875, 3705
dia 876, 2455
dia 877, 3081
dia 878, 2603
dia 879, 2429
dia 880, 3578
dia 881, 2548
dia 882, 3046
dia 883, 3165
dia 884, 3231
dia 885, 2373
dia 886, 3755
dia 887, 2632
dia 888, 2414
dia 889, 2536
dia 890, 2776
dia 891, 3124
dia 892, 2982
dia 893, 3362
dia 894, 3875
dia 895, 2996
dia 896, 3575
dia 897, 3517
dia 898, 3485
dia 899, 3368
dia 900, 2688
dia 901, 2120
dia 902, 2622
dia 903, 2420
dia 904, 2383
dia 905, 2826
dia 906, 2180
dia 907, 2855
dia 908, 3085
dia 909, 3001
dia 910, 2683
dia 911, 3504
dia 912, 2629
dia 913, 3011
dia 914, 2664
dia 915, 2477
dia 916, 2325
dia 917, 3394
dia 918, 2736
dia 919, 2432
dia 920, 2446
dia 921, 1961
dia 922, 2314
dia 923, 3046
dia 924, 2427
dia 925, 2383
dia 926, 2730
dia 927, 3009
dia 928, 1980
dia 929, 2671
dia 930, 3186
dia 931, 3125
dia 932, 2148
dia 933, 2648
dia 934, 2826
dia 935, 3587
dia 936, 2622
dia 937, 3781
dia 938, 2797
dia 939, 3038
dia 940, 3246
dia 941, 2547
dia 942, 2870
dia 943, 2677
dia 944, 2028
dia 945, 1765
dia 946, 1839
dia 947, 3441
dia 948, 3286
dia 949, 2498
dia 950, 2329
dia 951, 2610
dia 952, 2909
dia 953, 2511
dia 954, 2399
dia 955, 2474
dia 956, 1500
dia 957, 2059
dia 958, 2470
dia 959, 2399
dia 960, 2271
dia 961, 2651
dia 962, 2360
dia 963, 1796
dia 964, 2269
dia 965, 2219
dia 966, 3289
dia 967, 2614
dia 968, 2900
dia 969, 2711
dia 970, 2679
dia 971, 3439
dia 972, 2302
dia 973, 2585
dia 974, 2714
dia 975, 2751
dia 976, 2950
dia 977, 2989
dia 978, 2274
dia 979, 2487
dia 980, 2380
dia 981, 2618
dia 982, 2568
dia 983, 2567
dia 984, 2709
dia 985, 1705
dia 986, 2331
dia 987, 2094
dia 988, 2675
dia 989, 2530
dia 990, 2336
dia 991, 3063
dia 992, 3122
dia 993, 2830
dia 994, 2570
dia 995, 1765
dia 996, 2677
dia 997, 2116
dia 998, 2519
dia 999, 2855
