index, valuedia 0, 242
dia 159, 315
dia 160, 277
dia 161, 324
dia 162, 375
dia 163, 378
dia 164, 470
dia 165, 286
dia 166, 313
dia 167, 476
dia 168, 592
dia 169, 328
dia 170, 329
dia 171, 280
dia 172, 241
dia 173, 333
dia 174, 294
dia 175, 321
dia 176, 351
dia 177, 700
dia 178, 458
dia 179, 340
dia 180, 455
dia 181, 457
dia 182, 211
dia 183, 386
dia 184, 420
dia 185, 358
dia 186, 543
dia 187, 568
dia 188, 599
dia 189, 608
dia 190, 358
dia 191, 608
dia 192, 365
dia 193, 451
dia 194, 627
dia 195, 894
dia 196, 449
dia 197, 411
dia 198, 329
dia 199, 366
dia 200, 341
dia 201, 307
dia 202, 454
dia 203, 574
dia 204, 798
dia 205, 727
dia 206, 817
dia 207, 586
dia 208, 827
dia 209, 1011
dia 210, 500
dia 211, 905
dia 212, 903
dia 213, 840
dia 214, 910
dia 215, 914
dia 216, 1189
dia 217, 557
dia 218, 619
dia 219, 829
dia 220, 839
dia 221, 895
dia 222, 1256
dia 223, 828
dia 224, 936
dia 225, 1068
dia 226, 1193
dia 227, 998
dia 228, 983
dia 229, 1108
dia 230, 717
dia 231, 1079
dia 232, 1096
dia 233, 963
dia 234, 1028
dia 235, 1093
dia 236, 1815
dia 237, 1657
dia 238, 1031
dia 239, 1204
dia 240, 1055
dia 241, 1032
dia 242, 466
dia 243, 898
dia 244, 1236
dia 245, 1384
dia 246, 1246
dia 247, 1697
dia 248, 1432
dia 249, 1191
dia 250, 1493
dia 251, 1423
dia 252, 1451
dia 253, 1582
dia 254, 1263
dia 255, 1196
dia 256, 1687
dia 257, 1202
dia 258, 1370
dia 259, 909
dia 260, 1087
dia 261, 1493
dia 262, 2024
dia 263, 1564
dia 264, 1331
dia 265, 1392
dia 266, 1819
dia 267, 1202
dia 268, 1795
dia 269, 1288
dia 270, 1316
dia 271, 1490
dia 272, 1445
dia 273, 1356
dia 274, 1628
dia 275, 1615
dia 276, 1248
dia 277, 1687
dia 278, 1656
dia 279, 1662
dia 280, 1777
dia 281, 1692
dia 282, 1704
dia 283, 1338
dia 284, 1795
dia 285, 1764
dia 286, 1530
dia 287, 1889
dia 288, 1531
dia 289, 1875
dia 290, 1502
dia 291, 1463
dia 292, 1398
dia 293, 1975
dia 294, 2146
dia 295, 2418
dia 296, 1808
dia 297, 1672
dia 298, 1784
dia 299, 2314
dia 300, 1760
dia 301, 2535
dia 302, 1890
dia 303, 2346
dia 304, 2024
dia 305, 2200
dia 306, 1626
dia 307, 2476
dia 308, 2058
dia 309, 2568
dia 310, 2223
dia 311, 2543
dia 312, 2602
dia 313, 2196
dia 314, 1761
dia 315, 1701
dia 316, 2196
dia 317, 2028
dia 318, 1852
dia 319, 1625
dia 320, 2090
dia 321, 2058
dia 322, 1661
dia 323, 2128
dia 324, 1625
dia 325, 2210
dia 326, 1995
dia 327, 2292
dia 328, 2836
dia 329, 2188
dia 330, 2420
dia 331, 2409
dia 332, 1606
dia 333, 1946
dia 334, 1894
dia 335, 1871
dia 336, 2102
dia 337, 1687
dia 338, 2045
dia 339, 1875
dia 340, 1790
dia 341, 2359
dia 342, 2135
dia 343, 2093
dia 344, 2476
dia 345, 2249
dia 346, 2679
dia 347, 2748
dia 348, 3089
dia 349, 2156
dia 350, 2579
dia 351, 2554
dia 352, 3157
dia 353, 2610
dia 354, 2524
dia 355, 2236
dia 356, 3184
dia 357, 2077
dia 358, 4126
dia 359, 2327
dia 360, 2070
dia 361, 2341
dia 362, 2218
dia 363, 1855
dia 364, 2567
dia 365, 1991
dia 366, 2626
dia 367, 2267
dia 368, 2024
dia 369, 2516
dia 370, 1994
dia 371, 2529
dia 372, 2329
dia 373, 2931
dia 374, 3131
dia 375, 2753
dia 376, 2605
dia 377, 2541
dia 378, 2204
dia 379, 3161
dia 380, 2046
dia 381, 2436
dia 382, 2074
dia 383, 2796
dia 384, 2137
dia 385, 2971
dia 386, 2898
dia 387, 2869
dia 388, 3149
dia 389, 3164
dia 390, 2161
dia 391, 2805
dia 392, 3021
dia 393, 2353
dia 394, 2562
dia 395, 2543
dia 396, 2112
dia 397, 2675
dia 398, 2086
dia 399, 2783
dia 400, 2402
dia 401, 3031
dia 402, 2857
dia 403, 3199
dia 404, 2555
dia 405, 2436
dia 406, 2749
dia 407, 2822
dia 408, 2710
dia 409, 3203
dia 410, 1997
dia 411, 2619
dia 412, 2284
dia 413, 1610
dia 414, 2397
dia 415, 2827
dia 416, 2131
dia 417, 3129
dia 418, 2538
dia 419, 2991
dia 420, 3355
dia 421, 3207
dia 422, 3510
dia 423, 2722
dia 424, 2149
dia 425, 2710
dia 426, 2079
dia 427, 2041
dia 428, 2704
dia 429, 2955
dia 430, 2869
dia 431, 2955
dia 432, 2101
dia 433, 2618
dia 434, 2565
dia 435, 2228
dia 436, 2498
dia 437, 2496
dia 438, 2167
dia 439, 3010
dia 440, 2629
dia 441, 3378
dia 442, 3069
dia 443, 3412
dia 444, 2829
dia 445, 2186
dia 446, 2880
dia 447, 3492
dia 448, 2886
dia 449, 2776
dia 450, 2999
dia 451, 2131
dia 452, 2235
dia 453, 2501
dia 454, 2781
dia 455, 2421
dia 456, 2969
dia 457, 2699
dia 458, 2044
dia 459, 1977
